rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
11,doi:10.3390/app10228106,Improved Model Predictive-Based Underwater Trajectory Tracking Control for the Biomimetic Spherical Robot under Constraints,2020,Applied Sciences,https://doi.org/10.3390/app10228106,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
12,doi:10.46338/ijetae1121_04,Path Planning for Autonomous Driving of Mobile Robots using Deep Neural Network based Model Predictive Control,2021,International Journal of Emerging Technology and Advanced Engineering,https://doi.org/10.46338/ijetae1121_04,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
13,arxiv:2503.06060v1,STAR: A Foundation Model-driven Framework for Robust Task Planning and Failure Recovery in Robotic Systems,2025,arXiv,http://arxiv.org/abs/2503.06060v1,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
14,doi:10.3390/en14102915,Shipboard Power Management for Failure Mode Using the Hybrid MPC Approach,2021,Energies,https://doi.org/10.3390/en14102915,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
15,doi:10.1142/s2972335325500073,STAR: A Foundation Model-Driven Framework for Robust Task Planning and Failure Recovery in Robotic Systems,2025,International Journal of Artificial Intelligence and Robotics Research,https://doi.org/10.1142/s2972335325500073,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
16,arxiv:2410.20542v2,PaPaGei: Open Foundation Models for Optical Physiological Signals,2024,arXiv,http://arxiv.org/abs/2410.20542v2,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
17,doi:10.1049/iet-cta.2017.0395,Trajectory tracking for wheeled mobile robots via model predictive control with softening constraints,2017,IET Control Theory and Applications,https://doi.org/10.1049/iet-cta.2017.0395,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
18,doi:10.1002/oca.2581,Engine idle speed control using nonlinear multiparametric model predictive control,2020,Optimal Control Applications and Methods,https://doi.org/10.1002/oca.2581,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
19,doi:10.3390/en15145131,Model-Free Predictive Control and Its Applications,2022,Energies,https://doi.org/10.3390/en15145131,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
20,arxiv:2601.07821v1,Failure-Aware RL: Reliable Offline-to-Online Reinforcement Learning with Self-Recovery for Real-World Manipulation,2026,arXiv,http://arxiv.org/abs/2601.07821v1,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
21,doi:10.1109/icarcv.2014.7064441,Model predictive control of nonlinear input-affine systems with feasibility and stability constraints,2014,2014 13th International Conference on Control Automation Robotics & Vision (ICARCV),https://doi.org/10.1109/icarcv.2014.7064441,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
22,doi:10.53297/18293328-2024.1-46,MODEL PREDICTIVE CONTROL OF EXOSKELETON JOINT ANGLES,2024,"Proceedings of National Polytechnic University of Armenia. ELECTRICAL ENGINEERING, ENERGETICS",https://doi.org/10.53297/18293328-2024.1-46,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
23,doi:10.1049/iet-cta.2017.0265,Model predictive control of hypersonic vehicles accommodating constraints,2017,IET Control Theory & Applications,https://doi.org/10.1049/iet-cta.2017.0265,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
24,arxiv:2407.08065v1,Towards Interpretable Foundation Models of Robot Behavior: A Task Specific Policy Generation Approach,2024,arXiv,http://arxiv.org/abs/2407.08065v1,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
25,doi:10.1108/ir-01-2022-0028,Improved A* algorithm and model predictive control- based path planning and tracking framework for hexapod robots,2023,Industrial Robot: the international journal of robotics research and application,https://doi.org/10.1108/ir-01-2022-0028,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
26,doi:10.1002/rnc.6582,Dual‐mode robust model predictive control for the tracking control of nonholonomic mobile robot,2023,International Journal of Robust and Nonlinear Control,https://doi.org/10.1002/rnc.6582,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
27,arxiv:2605.19209v1,Graph Neural Planning and Predictive Control for Multi-Robot Communication-Constrained Unlabeled Motion Planning,2026,arXiv,http://arxiv.org/abs/2605.19209v1,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
28,doi:10.1002/oca.2569,Regularized economic model predictive control with barrier functions,2020,Optimal Control Applications and Methods,https://doi.org/10.1002/oca.2569,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
29,doi:10.5194/ms-15-55-2024,A novel generalized sliding mode controller for uncertain robot manipulators based on motion constraints,2024,Mechanical Sciences,https://doi.org/10.5194/ms-15-55-2024,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
30,doi:10.1177/08927790251364230,"Development and Validation of the Diameter and Sinus Score, a Novel Model to Predict Trifecta Failure for Robot-Assisted Partial Nephrectomy: A Multicenter Retrospective Study",2025,Journal of Endourology,https://doi.org/10.1177/08927790251364230,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
31,arxiv:2203.15107v1,Motion Planning for Agile Legged Locomotion using Failure Margin Constraints,2022,arXiv,http://arxiv.org/abs/2203.15107v1,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
32,doi:10.1115/1.4053026,Robust Nonlinear Model Predictive Control With Model Predictive Sliding Mode for Continuous-Time Systems,2022,"Journal of Dynamic Systems, Measurement, and Control",https://doi.org/10.1115/1.4053026,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
33,doi:10.1007/s10846-021-01501-3,MP-RRT#: a Model Predictive Sampling-based Motion Planning Algorithm for Unmanned Aircraft Systems,2021,Journal of Intelligent & Robotic Systems,https://doi.org/10.1007/s10846-021-01501-3,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
34,doi:10.3390/app10051635,Adaptive Cruise Control Based on Model Predictive Control with Constraints Softening,2020,Applied Sciences,https://doi.org/10.3390/app10051635,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
35,doi:10.1109/tie.2020.3026289,Robust Tracking Model Predictive Control With Quadratic Robustness Constraint for Mobile Robots With Incremental Input Constraints,2020,IEEE Transactions on Industrial Electronics,https://doi.org/10.1109/tie.2020.3026289,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
36,doi:10.63808/ihf.v2i1.268,Human-Robot Collaborative Path Planning with Predictive Obstacle Avoidance,2026,Intelligent & Human Futures,https://doi.org/10.63808/ihf.v2i1.268,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
37,doi:10.3390/math9161912,Statistical Machine Learning in Model Predictive Control of Nonlinear Processes,2021,Mathematics,https://doi.org/10.3390/math9161912,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
38,doi:10.2166/hydro.2025.300,Stochastic model predictive control of an irrigation canal with integrated performance-driven path planning of a measurement robot,2025,Journal of Hydroinformatics,https://doi.org/10.2166/hydro.2025.300,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
39,doi:10.3389/frobt.2024.1225297,Enabling robustness to failure with modular field robots,2024,Frontiers in Robotics and AI,https://doi.org/10.3389/frobt.2024.1225297,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
40,doi:10.3390/jmse14100902,Fuzzy Neural Broad Learning System: Data-Driven Model Predictive Control for Shipboard Boarding Systems,2026,Journal of Marine Science and Engineering,https://doi.org/10.3390/jmse14100902,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
41,arxiv:2404.05635v2,Semi-Infinite Programs for Robust Control and Optimization: Efficient Solutions and Extensions to Existence Constraints,2024,arXiv,http://arxiv.org/abs/2404.05635v2,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
42,doi:10.3389/fdgth.2026.1730457,Designing and evaluating large language model-enabled clinical decision support for heart failure: a modular and risk-tiered framework,2026,Frontiers in Digital Health,https://doi.org/10.3389/fdgth.2026.1730457,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
43,doi:10.1115/1.4070027,Sampling-Based Planning and Predictive Control for Energy Management of a Shipboard Integrated Power System With High Ramp Rate Load,2026,"Journal of Dynamic Systems, Measurement, and Control",https://doi.org/10.1115/1.4070027,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
44,doi:10.1115/1.1798071,Analysis of Active Joint Failure in Parallel Robot Manipulators,2004,Journal of Mechanical Design,https://doi.org/10.1115/1.1798071,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
45,doi:10.4271/2019-01-1289,Use of Machine Learning for Real-Time Non-Linear Model Predictive Engine Control,2019,SAE Technical Paper Series,https://doi.org/10.4271/2019-01-1289,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
46,doi:10.1161/circheartfailure.116.003146,Multistate Model to Predict Heart Failure Hospitalizations and All-Cause Mortality in Outpatients With Heart Failure With Reduced Ejection Fraction,2016,Circulation: Heart Failure,https://doi.org/10.1161/circheartfailure.116.003146,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
47,doi:10.1007/s11768-023-00174-7,Sliding mode-based adaptive tube model predictive control for robotic manipulators with model uncertainty and state constraints,2023,Control Theory and Technology,https://doi.org/10.1007/s11768-023-00174-7,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
48,doi:10.1109/icarcv.2014.7064517,Model-based predictive control of wheeled omni-directional robots considering nonlinear dynamical constraints and input delay,2014,2014 13th International Conference on Control Automation Robotics & Vision (ICARCV),https://doi.org/10.1109/icarcv.2014.7064517,Addresses robot morphology and learning or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Failure predictive morphology keeps action-critical alternatives explicit until a physical observation collapses them.
